Date of Post,Headline
"November 4, 2023",Family ‘distraught’ after man’s death at Johns Hopkins was ruled a homicide
"November 4, 2023",Police exchange shots with alleged assailant in Southeast
"November 3, 2023",Two teens charged in D.C. robbery spree that ended in fatal shooting
"November 3, 2023",Man shot in Southeast Washington in 2021 dies of injuries
"November 2, 2023",Carjackings prompt finger-pointing and criticisms among D.C. officials
"November 2, 2023","Man, 36, fatally shot early Wednesday in Southeast D.C."
"November 1, 2023",Va. man pleads guilty to accidentally shooting and killing best friend
"November 1, 2023",Detective describes attempted carjacking that left D.C. youth dead
"November 1, 2023","Intruder rings doorbell in Rockville on Halloween, police say"
"November 1, 2023",Prince George’s police detective mourns son killed at basketball court
"October 31, 2023",Police probe homicide after man assaulted in Bowie in August dies
"October 31, 2023",Body of man who had been shot is found in trash can in Southeast D.C.
"October 31, 2023",Five arrested after assaults at D.C. youth center
"October 31, 2023",Youth charged in attempted D.C. carjacking that ended in fatal gunfire
"October 31, 2023","Two men shot, one fatally, in Southeast Washington"
"October 31, 2023","Stafford County, Va., fire recruit charged with killing infant son"
"October 31, 2023",A night with the rat hunters
"October 30, 2023",Two suspects arrested in Fort Washington killing
"October 30, 2023",Alleged teen carjacker fatally shot as D.C. grapples with youth crime
"October 30, 2023",12-year-old admits to robbing D.C. Uber Eats driver of his moped
"October 30, 2023",Man fatally shot in the Hyattsville area
"October 30, 2023",Prince George’s police investigating fatal shooting of teen in Clinton
"October 29, 2023","D.C. youth fatally shot by victim of attempted carjacking, police say"
"October 28, 2023","Man with Down syndrome, missing for a week, found in locked Metro corridor"
"October 28, 2023",D.C. holds first ‘Missing Persons Day’ to help loved ones find answers
"October 28, 2023","Man charged in stabbing of Rand Paul staffer needs more tests, judge says"
"October 27, 2023",Teen charged in fatal D.C. carjacking was freed after earlier arrest
"October 27, 2023",Police say 15-year-old was behind false Paint Branch school bomb threat
"October 27, 2023",Fairfax elementary school teacher charged with lewd act toward child
"October 26, 2023",Video released of gunfire that wounded D.C. officer and killed suspect
"October 26, 2023",Murder suspect who escaped GWU Hospital last month is captured
"October 26, 2023",Suspect in slaying of Maryland judge Andrew Wilkinson is found dead
"October 26, 2023",Congressman pleads guilty to pulling false fire alarm in House building
"October 26, 2023","Man, 67, fatally shot in Southeast Washington"
"October 25, 2023","Second Baltimore firefighter dies after battling rowhouse fire, officials say"
"October 25, 2023","1 dead, 2 injured in shooting in Silver Spring, Md., police say"
"October 25, 2023",Police identify man killed earlier this month in Northwest D.C.
"October 25, 2023",Woman charged in July fatal shooting in Northwest Washington
"October 25, 2023",Fake but disruptive bomb threats plague Montgomery County schools
"October 25, 2023",Woman slain in Laurel remembered for her work with Langdon Park youths
"October 24, 2023",‘Potentially offensive’ material found in Alexandria police car
"October 24, 2023",Off-duty D.C. Housing Authority officer shot on New York Avenue
"October 24, 2023",D.C. day-care teachers with 24 students attacked on street
"October 24, 2023","D.C. man dies in custody near courthouse, report says"
"October 24, 2023",Woman sentenced in assaults of toddlers at Oxon Hill day care
"October 23, 2023","In D.C. bill, Bowser aims to curb retail theft, drug dealing, police reform"
"October 23, 2023",‘He had made it’: Man who escaped D.C. streets fatally shot near home
"October 23, 2023",Police search for driver in fatal hit and run in Pr. George’s
"October 23, 2023",Police say wounded D.C. officer might have been hit by friendly fire
"October 23, 2023","Man killed in domestic-related stabbing, police say"
"October 23, 2023",More bomb threats - and more all-clears - at two Montgomery schools
"October 23, 2023","Man is fatally stabbed in Prince George’s, police say"
"October 22, 2023","Man, 24, killed in U Street NW shooting in the District"
"October 22, 2023",Sheriff concludes search in Williamsport for suspect in Md. judge’s death
"October 21, 2023",Police locate car last operated by man suspected of killing Md. judge
"October 21, 2023",Rape suspects captured at Dulles while heading to El Salvador
"October 20, 2023","Senator’s staff member loses car, purse to gunman on Capitol Hill"
"October 20, 2023",D.C. police officer shot three weeks after graduating from academy
"October 20, 2023",Four men sentenced to decades in prison in fatal shooting of 10-year-old
"October 20, 2023","Man fatally shot in Prince George’s County, police say"
"October 20, 2023",Va. fentanyl dealer gets two-and-a-half years in prison
"October 20, 2023",Police say Md. judge was killed in ‘targeted attack’ after custody hearing
"October 20, 2023","Baltimore firefighter killed, four others injured in rowhouse blaze"
"October 20, 2023","Man killed, officer wounded in exchange of gunfire in Southeast D.C."
"October 19, 2023","Washington County Circuit Court judge killed in Md., official says"
"October 19, 2023",Woman slain Saturday outside D.C. sports bar
"October 19, 2023",Officer nearly killed by speeding driver tried to stop him months earlier
"October 19, 2023",D.C. U.S. attorney prosecuting more cases in 2023 than in year earlier
"October 19, 2023","Woman charged with murder in shooting at Herndon, Va. home"
"October 19, 2023",Officer admits to covering up crash after unauthorized Georgetown chase
"October 18, 2023","Police officer struck, critically injured on I-270 in Montgomery County"
"October 18, 2023",‘Frivolous’ v. ‘No trust here.’ Rift grows over Maryland judge’s job swap
"October 17, 2023","Four charged in death of woman found in Montgomery, police say"
"October 17, 2023",D.C. records four homicides in 24 hours as killings continue to climb
"October 17, 2023","Carjackers sold stolen vehicles to undercover police, authorities say"
"October 16, 2023",Man critically wounded in Northeast Washington shooting
"October 16, 2023",Man fatally shot in shopping center parking lot in Northeast Washington
"October 16, 2023","About 50, not 300, were in crowd of Tenleytown Wawa fight, police say"
"October 16, 2023",Girl killed in Mother’s Day shooting victim of feuding neighborhood gangs
"October 16, 2023",D.C. police arrest suspect in fatal shooting in Southeast Washington
"October 16, 2023",Fight at Tenleytown Wawa prompts police to disperse as many as 300 youths
"October 13, 2023","Three men charged in March fatal shooting, Pr. George’s police say"
"October 13, 2023","Man fatally shot in Northeast Washington, D.C. police say"
"October 13, 2023","Police charge teen, seek second suspect in Morgan State shooting"
"October 13, 2023","Teen charged with murder of family member in Pr. George’s, police say"
"October 13, 2023","Man sentenced to 25 years for strangling woman, Maryland officials say"
"October 13, 2023",D.C. area boosts security on Friday after call for Hamas ‘day of rage’
