Date of Post,Headline
"August 17, 2023",Man fatally shot near Columbia Heights Metro station
"August 16, 2023",Man released after sex abuse allegations arrested days later in more attacks
"August 16, 2023","16-year sentence for man who got on live video sex calls with 1,000 girls"
"August 16, 2023",Man extradited in 2022 killing of landscaper in D.C.
"August 16, 2023","Two men arrested in fatal shooting of teen in Woodbridge, police say"
"August 15, 2023",Mother of 6-year-old who shot teacher pleads guilty to child neglect
"August 21, 2023",Man jailed on murder charge in D.C. accused of killing behind bars
"August 21, 2023",Teens arrested after golf cart is taken at gunpoint at Va. country club
"August 21, 2023","Off-duty Fairfax officer arrested for DUI after crash, police say"
"August 20, 2023",From beauty queen to fatal overdose in Maryland dentist’s murder trial
"August 20, 2023",3 men die Saturday following violent incidents over past week
"August 19, 2023","Smoke causes evacuation of Dulles terminal, official says"
"August 19, 2023",FBI looks for Proud Boy after the Jan. 6 convict missed his sentencing
"August 19, 2023","Homicides are falling in many big cities. In D.C., they’re rising."
"August 17, 2023","D.C. police officer shoots, critically wounds armed man in Northwest"
"August 17, 2023",D.C. offers scant details about 911 calls reporting District Dogs flood
"August 17, 2023",Howard U. aims to reassure students after violence on and near campus
"August 17, 2023",D.C. officials say they will enforce youth curfew in certain areas
"August 17, 2023",Woman sentenced to 22 years for trying to mail ricin to Trump
"August 17, 2023",Arlington police arrest suspect they say assaulted women in their homes
"August 17, 2023",Man fatally shot near Columbia Heights Metro station
"August 16, 2023",Man released after sex abuse allegations arrested days later in more attacks
"August 16, 2023","16-year sentence for man who got on live video sex calls with 1,000 girls"
"August 16, 2023",Man extradited in 2022 killing of landscaper in D.C.
"August 16, 2023","Two men arrested in fatal shooting of teen in Woodbridge, police say"
"August 15, 2023",Mother of 6-year-old who shot teacher pleads guilty to child neglect
"August 15, 2023","71-year-old man killed in shooting in Northeast D.C., police say"
"August 14, 2023",Man accused of stealing ambulance from crash scene was wanted in other cases
"August 14, 2023",Police identify teen killed in shooting in Clinton area
"August 14, 2023","Md. couple and girl killed in fire in Outer Banks, official says"
"August 14, 2023",Man fatally shot in Northeast Washington
"August 13, 2023",Stolen ambulance pursued into D.C. from Virginia
"August 13, 2023",Juvenile is fatally shot in Prince William County
"August 13, 2023",Dentist charged with murder in anesthesia addiction case heads to trial
"August 13, 2023","One killed, two wounded in shooting in Prince George’s County"
"August 12, 2023","Prince George’s County, Md., police investigate fatal shooting"
"August 11, 2023",Police identify victim in fatal Woodbridge stabbing
"August 11, 2023",New D.C. police chief confronts command staff after violent weekend
"August 10, 2023",D.C. jail sued over process to receive kosher meals
"August 9, 2023",She confronted a 6-year-old seconds after he shot his teacher
"August 9, 2023",Authorities decline to say why marshals task force shot man in Alexandria
"August 9, 2023","Man shot in Northwest Washington has died, D.C. police say"
"August 8, 2023",One critically wounded after Marshals task force opens fire in Alexandria
"August 8, 2023","Body of suspect in construction worker killing is found, D.C. police say"
"August 8, 2023",Man who posed as federal law enforcement sentenced to nearly 6 years
"August 8, 2023",Police investigating inmate death in northwestern Maryland
"August 7, 2023",Three more pronounced dead from weekend gun violence in D.C.
"August 7, 2023","Woman arrested in fatal stabbing in Seat Pleasant, police say"
"August 7, 2023","Husband arrested in wife’s killing in Pr. George’s, police say"
"August 7, 2023","Girl wounded by stray bullet in Montgomery County, police say"
"August 7, 2023",Storm delays Beyoncé Renaissance concert at FedEx field; fans forced to shelter
"August 7, 2023",A Va. research farm prepares to receive a key addition — a dead body
"August 6, 2023",Surge of homicides in D.C. leaves 13 dead in August’s first 5 days
"August 6, 2023",Naked Florida man found next to body in Maryland. Was it murder?
"August 5, 2023","Six slain in shootings in the District on Saturday, police say"
"August 5, 2023","Retired Prince George’s officer shoots man, police say"
"August 5, 2023",Man is fatally shot Friday evening in Washington
"August 5, 2023","Residents, business owners confront D.C. officials over Chinatown crime"
"August 4, 2023","Man fatally shot near U Street Metro station, D.C. police say"
"August 4, 2023",A grandma was reading the Bible in her home. Then bullets flew inside.
"August 4, 2023",Advocates question whether Fairfax police foot chase policy goes far enough
"August 4, 2023",S.C. man charged with murder of family member in Prince George’s
"August 3, 2023",D.C. records five homicides in the first three days of August
"August 3, 2023",Police investigating death of female inmate at Fairfax County jail
"August 3, 2023","D.C. prepares for Trump’s return, as a criminal defendant"
"August 2, 2023",Police agencies investigating separate deaths in Prince George’s
"August 2, 2023",Former College Park mayor pleads guilty to child porn charges
"August 2, 2023",Senate buildings cleared after apparent ‘bogus’ active shooter report
"August 2, 2023","1 dead, 9 injured in crash involving wrong-way driver on interstate"
"August 2, 2023",Man arrested after exchanging gunfire with officer in Northeast D.C.
"August 1, 2023","Teen charged in fatal shooting took part in crime rampage, detective says"
"August 1, 2023",Henrietta Lacks’s family reaches settlement in extracted cell lawsuit
"August 1, 2023","Man fatally shot in Northwest Washington, D.C. police say"
"August 1, 2023","1 killed, 1 wounded in double shooting in Prince George’s, police say"
"August 1, 2023","Dying D.C. man named his shooter as ‘Papi,’ the man sleeping with his wife"
"August 1, 2023","Man fatally shot in Northeast D.C. on Monday, D.C. police say"
"August 1, 2023",She can stir a crowd. But can D.C.’s new police chief keep the city safe?
"August 1, 2023",Teenager arrested in campus death of construction worker
"July 31, 2023",Police identify man killed in double shooting in Prince George’s
"July 30, 2023","Huge cleanup, thousands without power after storms pummel D.C. region"
"July 29, 2023",Police identify victims in fatal double shooting in D.C.’s Southeast
"July 28, 2023","Man, 33, killed in Northeast D.C., police say"
"July 28, 2023","Property crime is going viral in D.C., putting shoppers on edge"
"July 28, 2023",FBI agents not charged in death of former Hogan aide Roy McGrath
"July 28, 2023","Laughter prompted fatal Capitol Heights shooting, charging documents say"
"July 27, 2023",Arrest announced in fatal hit and run crash near White House
"July 27, 2023",Man killed Wednesday while watching soccer game in Adams Morgan
"July 27, 2023",A sister lost one brother to gun violence in 2017. Now she has lost another.
"July 26, 2023",Fugitive yoga teacher brought to U.S. in 2010 killing of AU professor
"July 26, 2023",Her mom was making meatloaf. Then a bullet flew into their house.
"July 25, 2023","Girl, 12, severely wounded in Southeast Washington shooting"
"July 25, 2023",Baltimore sailor reported missing off Mexican coast
"July 25, 2023",Pr. George’s police investigate homicide in Silver Spring area
"July 24, 2023",Four killed in another violent weekend in D.C.
"July 24, 2023","Man slain over missing $10, charging documents say"
"July 24, 2023",One dead in Alexandria shooting
"July 24, 2023",Thieves swipe keys from valet stand in downtown D.C.
"July 24, 2023",Identities released after Montgomery County police fatally shoot 19-year old
"July 24, 2023",Man charged with hate crimes in Annapolis shooting that killed three
"July 24, 2023",Hyundai offers free anti-theft upgrades in D.C.
"July 24, 2023",Police identify man killed in Capitol Heights shooting
"July 24, 2023","Man fatally shot in Laurel area, police say"
"July 23, 2023",Two men killed in Columbia Heights shooting
"July 23, 2023","Montgomery County officer fatally shoots man suspected in stabbings, police say"
"July 23, 2023","Judge tosses abuse convictions of Md. teacher, citing bad lawyering"
"July 22, 2023",Man charged with manslaughter in beating that followed school fight
"July 22, 2023",Va. teen arrested in fatal shooting of 18-year-old
"July 22, 2023",Maryland 18-year-old arrested in fatal D.C. shooting
"July 22, 2023","Man killed in shooting in Southeast Washington, police say"
"July 21, 2023",Woman killed in Georgetown Hospital crash helped children in Haiti
"July 21, 2023",Security guard shoots teenager in gun battle at Metro station in D.C.
"July 21, 2023","1 killed, 5 injured in crash in Georgetown Hospital garage"
"July 20, 2023",Man sentenced to 80 years in Christmas Eve road rage killing
"July 20, 2023","Man fatally shot in Prince George’s, police say"
"July 20, 2023","Man fatally shot at coffee shop in Forestville, police say"
"July 20, 2023","Man charged in killing of 6-year-old girl dies in D.C. jail, officials say"
"July 19, 2023",Police arrest man in 2021 killing of educator in Shaw
"July 19, 2023",An 11-year-old’s robbery charges were dropped. Then he was arrested again.
"July 18, 2023",Fatal shooting near Catholic University fuels concern about crime
"July 18, 2023",Suspect in attack on Rand Paul staffer deemed ‘incompetent’ to stand trial
"July 18, 2023",Four wounded in shooting in Southeast
"July 17, 2023",D.C. mayor selects Pamela A. Smith as new police chief
"July 17, 2023","Car crashes into Prince George’s hospital, disrupts ICU"
"July 16, 2023",Police investigating a fatal shooting in Southeast D.C.
"July 16, 2023",Tributes pour in at funeral for teen killed in Baltimore block party shooting
"July 15, 2023",Man convicted of killing UDC basketball player outside tattoo shop
"July 15, 2023",Man accused of impersonating police in Maryland is arrested
"July 15, 2023",A mother saw her son’s fatal shooting — at his high school graduation
"July 15, 2023","Two slain Friday and Saturday, D.C. police say"
"July 14, 2023",D.C. Council passed an emergency crime bill. Here’s what it would do.
"July 14, 2023","17-year-old found shot in car has died, police say"
"July 14, 2023",Five people leaving a funeral shot on a bridge in Bladensburg
"July 14, 2023",Family mourns construction worker killed in robbery at Howard University
"July 14, 2023","D.C. woman charged with DUI, injuring two pedestrians, released from jail"
"July 14, 2023","Scammers targeting older Black women who were in sororities, police say"
"July 14, 2023","Pricey perfume, TVs, clothes. Police tie 6 to D.C.-area ‘pack thefts.’"
"July 13, 2023",Mental evaluation ordered for man charged in stabbing of Rand Paul staffer
"July 13, 2023","Driver fleeing Secret Service kills pedestrian near White House, officials say"
"July 13, 2023","She was abducted and killed in 1979. Decades later, police made an arrest."
"July 13, 2023","Man shot in Northeast Washington has died, D.C. police say"
"July 13, 2023","Five people shot outside Silver Spring restaurant, police say"
"July 12, 2023","Ky. teacher killed during possible robbery at Catholic University, records say"
"July 12, 2023",2 teenagers charged in Arlington fentanyl death
"July 12, 2023","Family identifies body of Gaithersburg man found in creek, police say"
"July 12, 2023","Man shot, killed in Oxon Hill convenience store, police say"
"July 12, 2023","Teens buying ‘ghost guns’ online, with deadly consequences"
"July 11, 2023",Police arrest man in killing of Ky. teacher on Catholic University campus
"July 11, 2023",D.C. Council passes emergency public safety legislation
"July 11, 2023",Jury finds D.C. police officer guilty of sexually assaulting child
"July 11, 2023",Suspect charged with killing 2 marijuana delivery drivers in D.C.
"July 10, 2023",D.C. mayor tries to shore up support for crime bill ahead of vote
"July 10, 2023","Teen arrested after bringing loaded gun to Md. high school, police say"
"July 10, 2023",Man is fatally stabbed in Seat Pleasant
"July 10, 2023",Man dies of injuries in Prince George’s shooting
"July 9, 2023","Man is fatally shot in Northeast D.C., police say"
"July 9, 2023","Man is fatally shot in District, police say"
"July 8, 2023",He served the Army in Afghanistan. He was killed driving for Lyft in D.C.
"July 8, 2023","Man fatally shot in downtown Silver Spring garage, police say"
"July 8, 2023","Fairfax man shot and killed by friend who called to confess, police say"
"July 7, 2023",One of Maryland’s oldest trees will be turned into a sculpture
"July 7, 2023","Teen arrested in Baltimore shooting that killed 2, wounded 28, police say"
"July 6, 2023",10 killings in 5 days in D.C. leave an international trail of grief
"July 6, 2023",Two French bulldogs taken at gunpoint in D.C. returned to family
"July 6, 2023",Maryland mom facing fatal child neglect trial to be released from jail
"July 6, 2023",Judge orders D.C. man to remain jailed until trial in fatal Metro shooting
"July 6, 2023","Man shot, killed in a Silver Spring home, police say"
"July 5, 2023","A deadly July Fourth in D.C., three years after city leaders vowed change"
"July 5, 2023",Pr. George’s police investigate fatal shooting in Seat Pleasant
"July 5, 2023","Man was slain in Prince George’s County, police say"
"July 5, 2023","Discarded fireworks spark house fire in Rockville, authorities say"
"July 5, 2023","2 dead, 1 injured in tractor-trailer crash on I-95 in Stafford, police say"
"July 5, 2023","Five men killed in separate shootings in D.C., police say"
"July 5, 2023","Nine wounded in shooting while celebrating July Fourth, D.C. police say"
"July 4, 2023",Two French bulldogs stolen at gunpoint in D.C.
"July 4, 2023",Secret Service investigating suspected cocaine found in White House
"July 4, 2023",Man accused of running over stranger with stolen forklift
"July 4, 2023",Man is slain on Capitol Hill
"July 3, 2023","At least 3 firearms in Baltimore shooting with 30 victims, police say"
"July 3, 2023",Longtime Metro bus driver killed in carjacking rampage
"July 3, 2023",What we know about the Baltimore shooting at a Brooklyn Day block party
"July 3, 2023","Man, two dogs killed in D.C.-area carjacking rampage, police say"
"July 3, 2023",Security photos show suspect and car being sought in D.C. firebombings
"July 2, 2023","Truist, Nike, Safeway targeted in small explosions in Northeast D.C."
"July 1, 2023","A casino, cash, guns and drugs. U.S. cracks down on Kennedy Street Crew."
"July 1, 2023","Man is slain in Petworth, D.C., police say"
"June 30, 2023","Woman stabbed, hurt Friday at Potomac Avenue Metro Station in D.C."
"June 30, 2023",Man arrested with guns near Obama’s house had been acting erratically
"June 30, 2023",Proud Boys to pay church $1 million for destroyed ‘Black Lives Matter’ sign
"June 30, 2023",Verizon customers in Maryland had trouble making 911 calls
"June 30, 2023","Man, 36, killed Thursday evening in Southeast D.C., police say"
"June 30, 2023",Several arrests made in separate homicide cases in Prince George’s County
"June 29, 2023","Pr. George’s police aim to tackle summer crime, work with community"
"June 29, 2023",Man sued for role in Jan. 6 riot arrested with weapons near Obama’s house
"June 29, 2023","In violent D.C. night, 2 are killed and 5-year-old girl is shot and wounded"
"June 29, 2023",Fire damages Ristorante Piccolo in Georgetown
"June 29, 2023",3-year-old dies after falling from Alexandria high-rise
"June 28, 2023","Pride and Ukrainian flags burned in ‘hate crimes,’ police say"
"June 28, 2023","Two fatally shot in Camp Springs area, police say"
"June 28, 2023","4 youths killed in D.C. in 10 days; city ‘is not safe,’ school official says"
"June 28, 2023",Firefighter dies when burning house collapses in Southern Maryland
"June 28, 2023","Man found slain in Accokeek area, Prince George’s police say"
"June 27, 2023",Bowser proposal to toughen D.C.’s approach to crime draws resistance
"June 27, 2023","Police, prosecutors target Kennedy Street Crew in Northwest D.C."
"June 27, 2023",Former Maryland police chief gets life prison terms for arson spree
"June 27, 2023",Two-alarm fire burns building on H Street in Northeast Washington
"June 27, 2023",Man dies in apartment fire in Southeast Washington
"June 26, 2023",Man fatally shot in Southeast D.C.
"June 24, 2023",District man sentenced to 16 years in prison for fentanyl distribution
"June 23, 2023",Man fatally shot in Montgomery County
"June 23, 2023","D.C. man convicted of murdering Unique Harris, who vanished without a trace"
"June 23, 2023","Fairfax police swap shotgun rounds for beanbags, part of national shift"
"June 23, 2023","D.C. police offer $1,000 rewards for illegal gun possession tips"
"June 23, 2023","18-year-old accused of stealing car, hitting Prince William officer"
"June 22, 2023",Three killed in separate Maryland shootings
"June 20, 2023",Man sentenced to life in prison in slayings of Va. couple
"June 20, 2023","Two men arrested in fatal shooting in Prince George’s, police say"
"June 19, 2023","Shootings in D.C. kill two teen cousins, critically injure 6-year-old"
"June 19, 2023",Arlington man arrested in stabbing death of woman he lived with
"June 18, 2023","Teen slain, child critical after two D.C. shootings"
"June 18, 2023","Four D.C. teens arrested in string of carjackings, armed robberies"
"June 17, 2023","Teenager fatally shot overnight in D.C., police say"
"June 17, 2023","Teens charged in fatal carjacking of high school student, police say"
"June 17, 2023",Big cities seek police chiefs in a critical time for law enforcement
"June 16, 2023","ICE impersonator threatened to deport woman before sex assault, police say"
"June 16, 2023",Retired D.C. lieutenant pleads guilty in fatal shooting of library officer
"June 15, 2023","Pregnant woman killed, baby survives in violent Thursday in D.C."
"June 15, 2023","Silver Spring student fatally shot in Langley Park area, officials say"
"June 15, 2023",Pr. George’s police investigating homicide in Bladensburg
"June 15, 2023",Pr. George’s police officer acquitted in alleged traffic stop assault
"June 14, 2023",Suitland man killed Tuesday in Prince George’s County
"June 13, 2023",Virginia man charged in killing of woman he was in a relationship with
"June 13, 2023","Woman missing from D.C. is found dead in Maryland, police say"
"June 13, 2023",Six convicted in trial over 2018 killing of 10-year-old girl in D.C.
"June 13, 2023",Two D.C. firefighters charged over brawl caught on video
"June 12, 2023","One dead, one injured in Prince George’s County apartment shooting"
"June 12, 2023",Parking dispute preceded shooting during Annapolis graduation party
"June 12, 2023",Suitland father charged in son’s killing in Prince George’s County
"June 12, 2023","Suspect in Va. shooting, abductions found dead by suicide, police say"
"June 12, 2023",Mother of 6-year-old who shot Va. teacher pleads guilty to gun charges
"June 11, 2023","Three dead, three injured in Annapolis shooting"
"June 10, 2023",Police report fatal stabbing in Prince George County
"June 9, 2023","Man slain in Montgomery, police say"
"June 9, 2023",Md. funeral service owner ordered held in killing of pallbearer
"June 9, 2023","Man who crashed U-Haul near White House planned other attacks, prosecutor says"
"June 9, 2023",Police arrest suspect in fatal shooting aboard Metro train
"June 9, 2023",Inside the race to capture a 200-lb. black bear on the loose in D.C.
"June 8, 2023","Bystander struck and killed after dispute, gunfire in Shaw, police say"
"June 7, 2023",Montgomery County deputy won’t face Maryland charges in fatal shooting
"June 7, 2023",He fought hard to get to graduation. He was killed after the ceremony.
"June 7, 2023",Report of person with a ‘long gun’ causes a lockdown at Bowie High School
"June 7, 2023",D.C. reaches 100 homicides at the earliest time in the year since 2003
"June 7, 2023",Police: Funeral company owner shot pallbearer at burial of 10-year-old
"June 7, 2023","Man is fatally shot in Southeast D.C., police say"
"June 6, 2023","2 fatally shot, several injured after high school graduation in Richmond"
"June 6, 2023",Two drivers charged in crash that killed six construction workers
"June 6, 2023",Prosecutors say no charges in fatal shooting by FBI agent at Metro Center
"June 6, 2023",Man fatally shot in Brentwood in Northeast Washington
"June 6, 2023",Police investigate fatal shooting at Prince George’s County cemetery
"June 6, 2023",Fire department adviser ignited change behind the scenes
"June 6, 2023",D.C.-area carjackings have soared. Here’s where they’re happening.
"June 5, 2023",He kissed his family goodbye. Their private plane never made it home.
"June 5, 2023","Woman accused of dismembering, grilling remains of 71-year-old mother"
"June 5, 2023",33-year-old dies in custody at Alexandria jail
"June 5, 2023",Man fatally shot in Southeast D.C.
"June 4, 2023",AG seeks deal with D.C. police lodge over allegedly illegal whiskey sales
"June 3, 2023","Man fatally shot in Southeast, police say"
"June 2, 2023",Prosecutors allege woman’s killing at Ivy City Hotel was random
"June 2, 2023",Prince William police identify suspect in triple homicide
"June 2, 2023","16 years later, driver who plowed car into crowded D.C. festival speaks out"
"June 1, 2023","D.C. firefighters sue city, alleging officials reneged on pension promises"
"June 1, 2023",Man pleads guilty in attack on Rep. Angie Craig in D.C. apartment building
"May 31, 2023",Prince George’s officer sentenced to 45 days for grabbing teen’s neck
"May 31, 2023",D.C. police investigating two homicides in Southeast Washington
"May 31, 2023",Two arrested in connection with double homicide in Fairfax County
"May 31, 2023",11-year-old charged in robberies as D.C. struggles to quell youth violence
"May 31, 2023","15-year-old arrested in school bus shooting attempt, police say"
"May 30, 2023","Mother of Ashli Babbitt arrested in D.C., police say"
"May 30, 2023","After teen’s killing, activists fear Metro violence becoming ‘normal’"
"May 30, 2023","Employee shot in Tony’s Place restaurant on H Street NE, police say"
"May 29, 2023",Woman dies after stabbing near Nationals Park
"May 29, 2023",Maryland teen identified as victim in Metro shooting
"May 29, 2023","Man, woman, teenager shot in Prince George’s house, police say"
"May 29, 2023",Maryland man charged in fatal stabbing in District Heights
"May 29, 2023",Boil-water alert issued for parts of Northeast Washington
"May 28, 2023",Man shot to death on Metro train pulling into Waterfront station
"May 28, 2023",Death of Md. prison inmate ruled homicide; cellmate identified as suspect
"May 28, 2023",Police investigating death of woman found under porch at Hager House
"May 28, 2023",Departing D.C. police chief says he pushed city to ‘think differently’
"May 27, 2023","Man fatally shot in Southeast Washington, police say"
"May 26, 2023","Man fatally stabbed in Prince George’s, police say"
"May 26, 2023","Four shot, two fatally, at Prince William County home, police say"
"May 26, 2023",Man accused of stealing police rifle arrested at Pentagon City mall
"May 26, 2023",D.C. official who led agencies focused on reducing gun violence dies
"May 26, 2023","Man, 19, fatally shot in Southwest Washington"
"May 25, 2023",16-year-old accused of shooting fleeing teen in head at Wheaton Metro
"May 25, 2023",15-year-old wanted in attempted killing of 14-year-old on Md. school bus
"May 25, 2023",Body-cam footage shows Fairfax officers shooting man in chaotic encounter
"May 25, 2023",4 charged with concealing body of woman found shot in car at Va. hospital
"May 25, 2023","No bail for man found with AK-47 in car at McLean, Va., preschool"
"May 24, 2023",Court official: DMV knew of DUIs of woman charged in fatal D.C. crash
"May 24, 2023","Man arrested at McLean, Va., preschool had AK-47 in his car, police say"
"May 24, 2023","Toddler was ‘tortured’ in fatal abuse case, Maryland prosecutors say"
"May 23, 2023",D.C. officer guilty of chokeholds in latest U.S. police abuse prosecution
"May 23, 2023","Driver in D.C. crash that killed 3 had blood alcohol above limit, police say"
"May 23, 2023",Woman charged in assaults at Maryland day care will remain jailed
"May 23, 2023",Md. man arrested in fatal Arlington crash
"May 23, 2023",Woman fatally shot in apartment in Prince George’s
"May 23, 2023","Truck, driver scrutinized after crash near White House, official says"
"May 22, 2023",Woman charged in Rock Creek Parkway crash that killed 3 had history of DUIs
"May 22, 2023",Student shot outside KIPP D.C. College Prep; school to reopen Wednesday
"May 21, 2023",Man shot and killed in Congress Heights
"May 20, 2023",Family and friends gather to remember 10-year-old shot on Mother’s Day
"May 20, 2023",Dumfries teenager arrested in slaying of Woodbridge man
"May 20, 2023",Man dies in crash on I-270 after police chase
"May 19, 2023",Police called 25 times to address of suspect in attack on Connolly staffers
"May 19, 2023",Man with AR-15-style rifle by bus stop says he wasn’t out to terrify kids
"May 19, 2023",Md. man who fatally stabbed 3 girls he was babysitting sentenced to life
"May 19, 2023",Bowser names Ashan Benedict interim D.C. police chief
"May 19, 2023","D.C. police officer arrested, accused of leaking info to Proud Boys leader"
"May 19, 2023","Multiple victims wounded, two killed, in shootings in Maryland, D.C."
"May 18, 2023","Killings of children spark outrage, frustration over violence in D.C."
"May 18, 2023",Driver killed in crash with deer on Dulles Airport Access Highway
"May 18, 2023","Teen charged after bringing loaded gun to Md. high school, police say"
"May 18, 2023",Fatal stabbing victims in Va. home identified as parents and adult son
"May 18, 2023","Man has died in domestic-related shooting in Pr. George’s, police say"
"May 18, 2023","Officer hid more than $1.3M, committed crimes ‘out of greed,’ U.S. says"
"May 17, 2023",17-year-old student fatally shot outside Roosevelt High School in D.C.
"May 17, 2023","10-year-old shot in D.C. on Mother’s Day has died, police say"
"May 17, 2023",Mother whose son died in D.C. police chase is charged in courtroom outburst
"May 17, 2023",Man killed in afternoon double shooting in Pr. George’s
"May 17, 2023",Two teens arrested in attempted shooting on school bus in Pr. George’s
"May 17, 2023",‘I’m going to kill you’: U.S. files charge in attack on Connolly staffers
"May 17, 2023",Capitol Police seeks increased presence outside D.C. to handle threats
"May 16, 2023",Three killed in shootings in D.C. in latest spate of violence
"May 16, 2023","Congress votes to block D.C.’s policing bill, despite Biden veto threat"
"May 16, 2023","U.S. charges Russian in global ransomware attacks, including on D.C."
"May 16, 2023","Man who attacked Connolly staff chased woman minutes before, police say"
"May 16, 2023","Three people fatally stabbed in Va. home, police say"
"May 15, 2023",Bowser unveils legislative proposal to stiffen penalties for gun crime
"May 15, 2023",Former D.C. police union official pleads guilty to fraud
"May 15, 2023",17-year-old sentenced for shooting of Commanders RB Brian Robinson
"May 15, 2023",Gerry Connolly staffers assaulted by man with bat at Va. office
"May 15, 2023",Man charged with murder in Pr. George’s shooting
"May 15, 2023","2 girls hit by stray bullets in D.C., as crime rises in the city"
"May 14, 2023",Md. teen fatally shot was driver in fatal crash two months ago
"May 13, 2023","Police rescue woman who says she was abducted, kept naked in U-Haul truck"
"May 17, 2023",17-year-old student fatally shot outside Roosevelt High School in D.C.
"May 17, 2023","10-year-old shot in D.C. on Mother’s Day has died, police say"
"May 17, 2023",Mother whose son died in D.C. police chase is charged in courtroom outburst
"May 17, 2023",Man killed in afternoon double shooting in Pr. George’s
"May 17, 2023",Two teens arrested in attempted shooting on school bus in Pr. George’s
"May 17, 2023",‘I’m going to kill you’: U.S. files charge in attack on Connolly staffers
"May 17, 2023",Capitol Police seeks increased presence outside D.C. to handle threats
"May 16, 2023",Three killed in shootings in D.C. in latest spate of violence
"May 16, 2023","Congress votes to block D.C.’s policing bill, despite Biden veto threat"
"May 16, 2023","U.S. charges Russian in global ransomware attacks, including on D.C."
"May 16, 2023","Man who attacked Connolly staff chased woman minutes before, police say"
"May 16, 2023","Three people fatally stabbed in Va. home, police say"
"May 15, 2023",Bowser unveils legislative proposal to stiffen penalties for gun crime
"May 15, 2023",Former D.C. police union official pleads guilty to fraud
"May 15, 2023",17-year-old sentenced for shooting of Commanders RB Brian Robinson
"May 15, 2023",Gerry Connolly staffers assaulted by man with bat at Va. office
"May 15, 2023",Man charged with murder in Pr. George’s shooting
"May 15, 2023","2 girls hit by stray bullets in D.C., as crime rises in the city"
"May 14, 2023",Md. teen fatally shot was driver in fatal crash two months ago
"May 13, 2023","Police rescue woman who says she was abducted, kept naked in U-Haul truck"
"May 13, 2023",Police investigating fatal shooting in Prince George’s County
"May 13, 2023","Three killed in three days in D.C. shootings, police say"
"May 13, 2023","Damascus High ‘brooming’ sex assault lawsuit can go to trial, judge rules"
"May 13, 2023","Student expelled, charged after alleged rape, Falls Church police say"
"May 12, 2023",Authorities identify man fatally shot by Fairfax County police
"May 12, 2023","Teenager fatally shot in Prince George’s, police say"
"May 12, 2023","Girl dead, father critically injured in shooting in District Heights home"
"May 11, 2023","Fairfax County police shoot, kill man during parking lot struggle"
"May 11, 2023","Man, 24, killed Wednesday in Northwest D.C."
"May 11, 2023","Stanton Samenow, psychologist who studied ‘criminal personality,’ dies at 81"
"May 10, 2023",Bowser to propose law making it easier to detain people before trial
"May 10, 2023",Mother of 6-year-old who shot Va. teacher says her son has ADHD
"May 9, 2023",Shooting outside D.C. postal facility is tied to domestic dispute
"May 9, 2023","Woman dies after being struck by firetruck in Northern Virginia, police say"
"May 9, 2023",Off-duty D.C. firefighter fatally shot during altercation in Maryland
"May 8, 2023",Postal Service employee detained after shooting outside D.C. facility
"May 7, 2023",Shot fired at Maryland mall; one person in custody
"May 7, 2023","D.C. man shot and killed in Fairfax County, police say"
"May 7, 2023","Two juveniles shot and ‘dropped off’ in Northeast D.C., police say"
"May 6, 2023","Maryland state trooper charged with assault, sex offense"
"May 13, 2023",Police investigating fatal shooting in Prince George’s County
"May 13, 2023","Three killed in three days in D.C. shootings, police say"
"May 13, 2023","Damascus High ‘brooming’ sex assault lawsuit can go to trial, judge rules"
"May 13, 2023","Student expelled, charged after alleged rape, Falls Church police say"
"May 12, 2023",Authorities identify man fatally shot by Fairfax County police
"May 12, 2023","Teenager fatally shot in Prince George’s, police say"
"May 12, 2023","Girl dead, father critically injured in shooting in District Heights home"
"May 11, 2023","Fairfax County police shoot, kill man during parking lot struggle"
"May 11, 2023","Man, 24, killed Wednesday in Northwest D.C."
"May 11, 2023","Stanton Samenow, psychologist who studied ‘criminal personality,’ dies at 81"
"May 10, 2023",Bowser to propose law making it easier to detain people before trial
"May 10, 2023",Mother of 6-year-old who shot Va. teacher says her son has ADHD
"May 9, 2023",Shooting outside D.C. postal facility is tied to domestic dispute
"May 9, 2023","Woman dies after being struck by firetruck in Northern Virginia, police say"
"May 9, 2023",Off-duty D.C. firefighter fatally shot during altercation in Maryland
"May 8, 2023",Postal Service employee detained after shooting outside D.C. facility
"May 7, 2023",Shot fired at Maryland mall; one person in custody
"May 7, 2023","D.C. man shot and killed in Fairfax County, police say"
"May 7, 2023","Two juveniles shot and ‘dropped off’ in Northeast D.C., police say"
"May 6, 2023","Maryland state trooper charged with assault, sex offense"
"May 6, 2023","Md. man charged with murder in April homicide, police say"
"May 6, 2023","Md. man charged with murder, arson after fatal shooting, police say"
"May 6, 2023","Seven slayings reported in seven days in District, according to police"
"May 5, 2023","Two slain in Annapolis area of Md.; assailant kills himself, police say"
"May 5, 2023",18-year-old man killed Thursday afternoon in Southeast D.C.
"May 5, 2023","12-year-old charged in 9 separate D.C. carjackings, robberies, assaults"
"May 5, 2023","Her son killed by police, a Black mother reluctantly becomes an advocate"
"May 4, 2023",Prosecutor alleges Md. parents watched teen daughter ‘slowly die’
"May 4, 2023",Man found dead in apparent homicide in Maryland apartment after fire
"May 4, 2023",Md. police seek 3 juveniles after attempted shooting on school bus
"May 4, 2023","Man and woman killed in separate shootings in D.C., police say"
