neg,neu,pos,compound,Headline,Date of Post
0.441,0.559,0.0,-0.7964,Police say 13-year-old boy fatally stabbed his father in Northwest D.C.,"November 14, 2023"
0.0,1.0,0.0,0.0,"Climate protester vandalizes wall at National Gallery, officials say","November 14, 2023"
0.453,0.471,0.076,-0.8126,Triple murder sentence reduced for man imprisoned since he was 17,"November 14, 2023"
0.0,1.0,0.0,0.0,"Man is shot, critically wounded in Southeast D.C., police say","November 13, 2023"
0.474,0.526,0.0,-0.802,"Facing contempt threat, D.C. finds more housing for youth detainees","November 13, 2023"
0.531,0.469,0.0,-0.7783,Police arrest teen in November killing of 14-year-old,"November 13, 2023"
0.272,0.728,0.0,-0.6249,"Five slain in three-day span in D.C., continuing surge of deadly violence","November 13, 2023"
0.538,0.462,0.0,-0.8519,"Suspect in custody after man fatally stabbed in Alexandria, police say","November 13, 2023"
0.211,0.789,0.0,-0.34,Secret Service agent in Georgetown fires gun during vehicle break-in,"November 13, 2023"
0.255,0.745,0.0,-0.34,"Gun store burglarized in Montgomery County, police say","November 13, 2023"
0.0,1.0,0.0,0.0,Woman slain in Southeast Washington,"November 12, 2023"
0.494,0.506,0.0,-0.8316,Suspect arrested in fatal shooting of man in vehicle in Northeast D.C.,"November 12, 2023"
0.0,1.0,0.0,0.0,"Former inmate sues Virginia, saying he was held too long","November 12, 2023"
0.296,0.704,0.0,-0.6369,"Man, 38, fatally shot Saturday morning in Southeast D.C., police say","November 11, 2023"
0.341,0.659,0.0,-0.6908,"In rare move, D.C. police bump missing woman’s case to major crime unit","November 11, 2023"
0.388,0.612,0.0,-0.6908,Former FBI contractor pleads guilty to exploiting minors on gaming app,"November 11, 2023"
0.468,0.532,0.0,-0.5267,Slaying victim found on Lost Knife Circle,"November 11, 2023"
0.286,0.714,0.0,-0.4939,Police car stolen as car thefts soar in D.C.,"November 10, 2023"
0.0,1.0,0.0,0.0,Executive assistant D.C. police chief leaves for Capitol Police force,"November 10, 2023"
0.149,0.851,0.0,-0.2732,Florida lawyer held on charges he tried to blow up Chinese embassy wall,"November 9, 2023"
0.508,0.492,0.0,-0.7351,Maryland man charged in October killing of brother,"November 9, 2023"
0.184,0.816,0.0,-0.2023,Man charged in domestic slaying in Prince George’s County,"November 9, 2023"
0.538,0.462,0.0,-0.7906,"1 dead, 1 injured after shooting, Prince George’s police say","November 9, 2023"
0.0,1.0,0.0,0.0,"‘High-end brothel’ serving politicians and executives busted, feds say","November 8, 2023"
0.0,1.0,0.0,0.0,Maryland settles in suit involving medical examiner’s office,"November 8, 2023"
0.426,0.574,0.0,-0.6369,Former Montgomery County teacher accused of sexually abusing 14-year-old,"November 7, 2023"
0.444,0.556,0.0,-0.5859,Police arrest man carrying long gun near Capitol,"November 7, 2023"
0.333,0.667,0.0,-0.6705,"Man, 23, killed Saturday morning in Southeast D.C., police say","November 6, 2023"
0.0,1.0,0.0,0.0,D.C. mayor resurrects old policy to target open-air drug markets,"November 6, 2023"
0.368,0.632,0.0,-0.5423,D.C. police investigate two unrelated fatal shootings,"November 6, 2023"
0.524,0.476,0.0,-0.7717,Assistant D.C. administrator put on leave after domestic violence arrest,"November 6, 2023"
0.424,0.576,0.0,-0.7096,U.S. Park Police officer accidentally shoots and kills fellow officer,"November 5, 2023"
0.344,0.656,0.0,-0.6369,"Man fatally shot in Montgomery County restaurant, police say","November 5, 2023"
0.36,0.64,0.0,-0.6705,"14-year-old, man killed in two D.C. shootings, police say","November 4, 2023"
0.457,0.543,0.0,-0.7096,D.C. police arrest 22-year-old man in fatal August shooting,"November 4, 2023"
0.281,0.719,0.0,-0.5994,Family ‘distraught’ after man’s death at Johns Hopkins was ruled a homicide,"November 4, 2023"
0.0,1.0,0.0,0.0,Police exchange shots with alleged assailant in Southeast,"November 4, 2023"
0.346,0.654,0.0,-0.6486,Two teens charged in D.C. robbery spree that ended in fatal shooting,"November 3, 2023"
0.0,1.0,0.0,0.0,Man shot in Southeast Washington in 2021 dies of injuries,"November 3, 2023"
0.213,0.787,0.0,-0.2263,Carjackings prompt finger-pointing and criticisms among D.C. officials,"November 2, 2023"
0.344,0.656,0.0,-0.6369,"Man, 36, fatally shot early Wednesday in Southeast D.C.","November 2, 2023"
0.417,0.261,0.322,-0.296,Va. man pleads guilty to accidentally shooting and killing best friend,"November 1, 2023"
0.35,0.65,0.0,-0.6486,Detective describes attempted carjacking that left D.C. youth dead,"November 1, 2023"
0.0,1.0,0.0,0.0,"Intruder rings doorbell in Rockville on Halloween, police say","November 1, 2023"
0.497,0.503,0.0,-0.836,Prince George’s police detective mourns son killed at basketball court,"November 1, 2023"
0.254,0.746,0.0,-0.5267,Police probe homicide after man assaulted in Bowie in August dies,"October 31, 2023"
0.0,1.0,0.0,0.0,Body of man who had been shot is found in trash can in Southeast D.C.,"October 31, 2023"
0.524,0.476,0.0,-0.765,Five arrested after assaults at D.C. youth center,"October 31, 2023"
0.371,0.629,0.0,-0.6486,Youth charged in attempted D.C. carjacking that ended in fatal gunfire,"October 31, 2023"
0.375,0.625,0.0,-0.6369,"Two men shot, one fatally, in Southeast Washington","October 31, 2023"
0.551,0.449,0.0,-0.8225,"Stafford County, Va., fire recruit charged with killing infant son","October 31, 2023"
0.0,1.0,0.0,0.0,A night with the rat hunters,"October 31, 2023"
0.712,0.288,0.0,-0.872,Two suspects arrested in Fort Washington killing,"October 30, 2023"
0.461,0.539,0.0,-0.8271,Alleged teen carjacker fatally shot as D.C. grapples with youth crime,"October 30, 2023"
0.0,0.82,0.18,0.296,12-year-old admits to robbing D.C. Uber Eats driver of his moped,"October 30, 2023"
0.412,0.588,0.0,-0.6369,Man fatally shot in the Hyattsville area,"October 30, 2023"
0.28,0.72,0.0,-0.5423,Prince George’s police investigating fatal shooting of teen in Clinton,"October 30, 2023"
0.412,0.588,0.0,-0.743,"D.C. youth fatally shot by victim of attempted carjacking, police say","October 29, 2023"
0.167,0.833,0.0,-0.296,"Man with Down syndrome, missing for a week, found in locked Metro corridor","October 28, 2023"
0.0,0.602,0.398,0.765,D.C. holds first ‘Missing Persons Day’ to help loved ones find answers,"October 28, 2023"
0.13,0.87,0.0,-0.2023,"Man charged in stabbing of Rand Paul staffer needs more tests, judge says","October 28, 2023"
0.443,0.402,0.155,-0.6124,Teen charged in fatal D.C. carjacking was freed after earlier arrest,"October 27, 2023"
0.423,0.577,0.0,-0.765,Police say 15-year-old was behind false Paint Branch school bomb threat,"October 27, 2023"
0.167,0.833,0.0,-0.2023,Fairfax elementary school teacher charged with lewd act toward child,"October 27, 2023"
0.427,0.573,0.0,-0.7717,Video released of gunfire that wounded D.C. officer and killed suspect,"October 26, 2023"
0.463,0.537,0.0,-0.7845,Murder suspect who escaped GWU Hospital last month is captured,"October 26, 2023"
0.419,0.581,0.0,-0.7579,Suspect in slaying of Maryland judge Andrew Wilkinson is found dead,"October 26, 2023"
0.487,0.513,0.0,-0.765,Congressman pleads guilty to pulling false fire alarm in House building,"October 26, 2023"
0.412,0.588,0.0,-0.6369,"Man, 67, fatally shot in Southeast Washington","October 26, 2023"
0.36,0.64,0.0,-0.5423,"Second Baltimore firefighter dies after battling rowhouse fire, officials say","October 25, 2023"
0.467,0.533,0.0,-0.7906,"1 dead, 2 injured in shooting in Silver Spring, Md., police say","October 25, 2023"
0.333,0.667,0.0,-0.6705,Police identify man killed earlier this month in Northwest D.C.,"October 25, 2023"
0.431,0.569,0.0,-0.6486,Woman charged in July fatal shooting in Northwest Washington,"October 25, 2023"
0.722,0.278,0.0,-0.9186,Fake but disruptive bomb threats plague Montgomery County schools,"October 25, 2023"
0.0,1.0,0.0,0.0,Woman slain in Laurel remembered for her work with Langdon Park youths,"October 25, 2023"
0.0,1.0,0.0,0.0,‘Potentially offensive’ material found in Alexandria police car,"October 24, 2023"
0.0,0.874,0.126,0.0772,Off-duty D.C. Housing Authority officer shot on New York Avenue,"October 24, 2023"
0.273,0.727,0.0,-0.4588,D.C. day-care teachers with 24 students attacked on street,"October 24, 2023"
0.0,1.0,0.0,0.0,"D.C. man dies in custody near courthouse, report says","October 24, 2023"
0.291,0.506,0.203,-0.1027,Woman sentenced in assaults of toddlers at Oxon Hill day care,"October 24, 2023"
0.0,1.0,0.0,0.0,"In D.C. bill, Bowser aims to curb retail theft, drug dealing, police reform","October 23, 2023"
0.259,0.741,0.0,-0.6369,‘He had made it’: Man who escaped D.C. streets fatally shot near home,"October 23, 2023"
0.241,0.759,0.0,-0.5423,Police search for driver in fatal hit and run in Pr. George’s,"October 23, 2023"
0.154,0.641,0.205,0.2023,Police say wounded D.C. officer might have been hit by friendly fire,"October 23, 2023"
0.429,0.571,0.0,-0.6705,"Man killed in domestic-related stabbing, police say","October 23, 2023"
0.451,0.549,0.0,-0.763,More bomb threats - and more all-clears - at two Montgomery schools,"October 23, 2023"
0.504,0.496,0.0,-0.7964,"Man is fatally stabbed in Prince George’s, police say","October 23, 2023"
0.333,0.667,0.0,-0.6705,"Man, 24, killed in U Street NW shooting in the District","October 22, 2023"
0.404,0.596,0.0,-0.7269,Sheriff concludes search in Williamsport for suspect in Md. judge’s death,"October 22, 2023"
0.387,0.613,0.0,-0.743,Police locate car last operated by man suspected of killing Md. judge,"October 21, 2023"
0.47,0.53,0.0,-0.7964,Rape suspects captured at Dulles while heading to El Salvador,"October 21, 2023"
0.187,0.813,0.0,-0.3182,"Senator’s staff member loses car, purse to gunman on Capitol Hill","October 20, 2023"
0.0,1.0,0.0,0.0,D.C. police officer shot three weeks after graduating from academy,"October 20, 2023"
0.467,0.533,0.0,-0.7845,Four men sentenced to decades in prison in fatal shooting of 10-year-old,"October 20, 2023"
